Strain, Tx, Tz 
1.95510648238041e-01, 2.86927514557364e-01, 1.01440462572121e-02 
2.02620126355788e-01, 3.11594222071707e-01, 1.59197615297882e-02 
2.09729604473535e-01, 3.35438506084050e-01, 1.96618103145461e-02 
2.16839082591282e-01, 3.60277265085947e-01, 2.43862174428767e-02 
2.23948560709029e-01, 3.89192902722275e-01, 3.14414442119640e-02 
2.31058038826776e-01, 4.51048123903219e-01, 4.90083891957173e-02 
2.38167516944523e-01, 5.16049761221810e-01, 6.71840219077125e-02 
2.45276995062269e-01, 5.75062946386134e-01, 8.41806552260146e-02 
2.52386473180017e-01, 6.27311174116152e-01, 1.00854705116890e-01 
2.59495951297763e-01, 6.77625278682417e-01, 1.18130738446665e-01 
2.66605429415510e-01, 7.35302944215152e-01, 1.39440098853798e-01 
2.73714907533257e-01, 8.35541896857378e-01, 1.79875988558333e-01 
2.80824385651004e-01, 9.89111692636441e-01, 2.43564274377146e-01 
2.87933863768751e-01, 1.11639342034496e+00, 2.94094492688432e-01 
2.95043341886498e-01, 1.23691058487618e+00, 3.45171578193179e-01 
3.02152820004245e-01, 1.34964427932974e+00, 3.97414419729880e-01 
3.09262298121992e-01, 1.46900121626019e+00, 4.51420642836367e-01 
3.16371776239739e-01, 1.61151876704335e+00, 5.15058224566354e-01 
3.23481254357486e-01, 1.95024449831347e+00, 6.83465990560133e-01 
3.30590732475233e-01, 2.24362454308503e+00, 8.30527048999352e-01 
3.37700210592980e-01, 2.44084238049372e+00, 9.30932816812503e-01 
3.44809688710727e-01, 2.66992510501874e+00, 1.05674940721081e+00 
3.51919166828474e-01, 3.02119639078400e+00, 1.23312436272276e+00 
